0,0;1,0;2,0
0,65536;6,61914;0,065536
0,720896;6,75021;0,065536
0,720896;6,61914;0
0,65536;6,61914;0,065536
0,65536;6,5536;0
0,65536;6,68467;0,065536
0,65536;6,68467;0,065536
0,720896;6,68467;0,065536
0,65536;6,61914;0
0,65536;6,68467;0,065536
0,65536;6,81574;0,065536
0,720896;6,61914;0
0,720896;6,75021;0,065536
0,720896;6,81574;0
0,720896;6,61914;0,065536
0,720896;6,68467;0
0,65536;6,75021;0,065536
0,65536;6,61914;0
0,720896;6,68467;0,065536
0,65536;6,68467;0
0,720896;6,75021;0,065536
0,720896;6,61914;0,065536
0,720896;6,68467;0,065536
0,720896;6,81574;0,065536
0,65536;6,68467;0,065536
0,65536;6,68467;0,065536
0,720896;6,81574;0,065536
0,65536;6,81574;0,065536
0,65536;6,88128;0,065536
0,65536;6,75021;0,065536
0,65536;6,61914;0,065536
0,65536;6,75021;0,065536
0,65536;6,61914;0
0,720896;6,75021;0,065536
0,65536;6,88128;0,065536
0,65536;6,68467;0
0,65536;6,68467;0
0,65536;6,75021;0
0,720896;6,61914;0
0,720896;6,75021;0,065536
0,65536;6,81574;0,065536
0,65536;6,81574;0
0,720896;6,68467;0,065536
0,65536;6,75021;0,065536
0,720896;6,81574;0
0,720896;6,75021;0,065536
0,65536;6,81574;0,065536
0,65536;6,81574;0,065536
0,720896;6,68467;0,065536
0,720896;6,75021;0,065536
0,720896;6,75021;0
0,720896;6,81574;0,065536
0,65536;6,5536;0
0,65536;6,61914;0
0,65536;6,81574;0,065536
0,65536;6,81574;0,065536
0,720896;6,75021;0,065536
0,65536;6,75021;0,065536
0,720896;6,81574;0,065536
0,65536;6,75021;0,065536
0,65536;6,75021;0
0,720896;6,68467;0,065536
0,65536;6,75021;0
0,65536;6,68467;0,065536
0,720896;6,68467;0
0,65536;6,81574;0,065536
0,720896;6,75021;0,065536
0,65536;6,75021;0,065536
0,65536;6,68467;0,065536
0,720896;6,68467;0,065536
0,65536;6,68467;0
0,65536;6,75021;0,065536
0,720896;6,81574;0,065536
0,65536;6,68467;0,065536
0,65536;6,81574;0,065536
0,720896;6,75021;0,065536
0,65536;6,75021;0,065536
0,65536;6,81574;0
0,65536;6,75021;0,065536
0,65536;6,75021;0,065536
0,720896;6,68467;0,065536
0,65536;6,81574;0,065536
0,65536;6,75021;0
0,65536;6,81574;0,065536
0,65536;6,68467;0,065536
0,65536;6,75021;0,065536
0,720896;6,68467;0,065536
0,720896;6,81574;0,065536
0,65536;6,5536;0,065536
0,720896;6,68467;0
0,65536;6,88128;0,065536
0,720896;6,68467;0
0,65536;6,68467;0,065536
0,720896;6,81574;0,065536
